0 0.0 210.00 -440.00
1 0.0 380.00 -670.00
2 0.0 430.00 -820.00
3 0.0 520.00 -350.00
4 0.0 550.00 -470.00
5 0.0 850.00 -530.00
6 0.0 635.76 -756.31
7 0.0 625.98 -764.63
8 0.0 327.83 -842.00
9 0.0 372.05 -970.15
10 0.0 558.68 -615.31
11 0.0 573.07 -610.96
12 0.0 586.05 -602.41
13 0.0 515.88 -360.44
14 0.0 307.37 -427.36
15 0.0 507.46 -342.37
16 0.0 527.60 -335.10
17 0.0 555.06 -490.15
18 0.0 309.74 -771.64
19 0.0 567.59 -615.95
20 0.0 452.55 -650.74
21 0.0 437.53 -655.28
22 0.0 374.90 -670.75
23 0.0 827.20 -467.09
24 0.0 859.43 -557.01
25 0.0 863.70 -571.39
26 0.0 658.70 -841.88
27 0.0 654.35 -827.44
28 0.0 594.33 -774.32
29 0.0 581.01 -778.36
30 0.0 624.81 -718.26
31 0.0 656.75 -824.33
32 0.0 312.09 -790.31
33 0.0 307.72 -776.03
34 0.0 601.97 -653.13
35 0.0 581.56 -587.47
36 0.0 577.71 -575.17
37 0.0 573.67 -562.23
38 0.0 354.24 -571.17
39 0.0 347.10 -894.05
40 0.0 351.98 -909.98
41 0.0 360.80 -938.77
42 0.0 517.11 -341.03
43 0.0 532.45 -451.61
44 0.0 922.74 -413.59
45 0.0 832.71 -436.54
6 1.0 634.10 -748.90
7 1.0 631.02 -762.89
8 1.0 330.11 -849.47
9 1.0 380.88 -968.19
10 1.0 551.54 -617.47
11 1.0 566.98 -612.80
12 1.0 583.95 -607.37
13 1.0 520.09 -364.19
14 1.0 309.51 -434.19
15 1.0 497.00 -345.58
16 1.0 524.10 -336.42
17 1.0 552.53 -482.68
18 1.0 307.48 -764.19
19 1.0 576.13 -613.37
20 1.0 459.41 -648.68
21 1.0 444.29 -653.24
22 1.0 369.48 -672.41
23 1.0 819.72 -464.68
24 1.0 857.70 -551.19
25 1.0 861.93 -565.42
26 1.0 660.61 -848.34
27 1.0 656.10 -833.24
28 1.0 600.42 -772.40
29 1.0 586.25 -776.78
30 1.0 622.40 -710.25
31 1.0 654.64 -817.34
32 1.0 314.04 -796.71
33 1.0 309.74 -782.65
34 1.0 604.12 -660.18
35 1.0 583.32 -593.10
36 1.0 578.92 -579.02
37 1.0 574.97 -566.37
38 1.0 351.95 -563.76
39 1.0 345.05 -887.36
40 1.0 349.94 -903.30
41 1.0 358.32 -930.68
42 1.0 516.94 -342.72
43 1.0 535.32 -460.81
44 1.0 922.74 -413.59
45 1.0 834.06 -430.46
6 2.0 631.90 -741.66
7 2.0 635.56 -757.62
8 2.0 332.22 -856.36
9 2.0 389.54 -965.62
10 2.0 544.10 -619.72
11 2.0 559.89 -614.95
12 2.0 578.66 -609.27
13 2.0 520.50 -371.70
14 2.0 311.70 -441.35
15 2.0 486.73 -348.75
16 2.0 518.20 -338.73
17 2.0 550.23 -475.72
18 2.0 305.13 -756.46
19 2.0 581.01 -611.90
20 2.0 465.71 -646.77
21 2.0 451.16 -651.16
22 2.0 361.86 -674.74
23 2.0 812.18 -465.22
24 2.0 856.02 -545.62
25 2.0 860.04 -559.06
26 2.0 662.39 -854.44
27 2.0 657.94 -839.35
28 2.0 607.08 -770.32
29 2.0 591.66 -775.14
30 2.0 620.26 -703.14
31 2.0 652.69 -810.87
32 2.0 316.10 -803.49
33 2.0 311.65 -788.87
34 2.0 605.90 -666.19
35 2.0 585.34 -599.55
36 2.0 580.63 -584.50
37 2.0 576.47 -571.18
38 2.0 349.86 -556.39
39 2.0 343.09 -880.97
40 2.0 347.65 -895.83
41 2.0 355.68 -922.04
42 2.0 516.64 -345.80
43 2.0 537.23 -467.52
44 2.0 922.74 -413.59
45 2.0 835.56 -423.70
6 3.0 629.40 -733.45
7 3.0 634.46 -750.08
8 3.0 334.68 -864.39
9 3.0 397.71 -963.19
10 3.0 537.20 -621.81
11 3.0 551.96 -617.34
12 3.0 571.32 -611.49
13 3.0 520.97 -380.33
14 3.0 314.12 -449.25
15 3.0 475.70 -352.17
16 3.0 511.03 -341.40
17 3.0 547.84 -468.43
18 3.0 302.60 -748.15
19 3.0 583.97 -610.19
20 3.0 471.64 -644.98
21 3.0 457.26 -649.33
22 3.0 354.85 -676.88
23 3.0 804.33 -467.51
24 3.0 854.56 -539.59
25 3.0 858.38 -553.47
26 3.0 664.32 -861.03
27 3.0 660.00 -846.27
28 3.0 613.72 -768.32
29 3.0 598.89 -772.88
30 3.0 617.90 -695.31
31 3.0 650.76 -804.49
32 3.0 318.02 -809.83
33 3.0 313.79 -795.86
34 3.0 607.71 -672.26
35 3.0 587.33 -605.94
36 3.0 582.64 -590.94
37 3.0 577.91 -575.80
38 3.0 347.92 -549.50
39 3.0 341.17 -874.67
40 3.0 345.80 -889.80
41 3.0 353.32 -914.34
42 3.0 516.47 -350.33
43 3.0 536.57 -474.08
44 3.0 922.74 -413.59
45 3.0 837.18 -416.40
6 4.0 626.92 -725.26
7 4.0 632.09 -742.29
8 4.0 337.10 -872.31
9 4.0 406.89 -960.47
10 4.0 530.16 -623.93
